更新时间: 2026-04-10 15:23:26（北京时间）

更新时间,#genre#
2026-04-10 15:23:26,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV8,http://182.135.34.97:888/rtp/239.94.2.29:5140$四川电信
CCTV8,http://121.238.250.95:8800/rtp/239.49.8.77:8000$江苏电信
CCTV8,http://111.193.235.246:8888/rtp/239.3.1.175:8001$北京市联通
CCTV8,http://106.116.240.74:9999/rtp/239.254.201.155:7208$河北省电信
CCTV9,http://113.120.108.132:4000/rtp/239.21.1.153:5002$山东电信
CCTV9,http://116.237.61.115:4022/rtp/233.18.204.75:5140$上海市电信
CCTV9,http://171.8.84.159:8800/rtp/239.16.20.9:10090$河南电信
CCTV9,http://182.135.34.97:888/rtp/239.94.2.32:5140$四川电信
CCTV9,http://182.135.34.97:888/rtp/239.94.0.9:5140$四川电信
CCTV9,http://121.238.250.95:8800/rtp/239.49.8.53:9814$江苏电信
CCTV9,http://111.193.235.246:8888/rtp/239.3.1.62:8112$北京市联通
CCTV9,http://106.116.240.74:9999/rtp/239.254.200.59:8112$河北省电信
CCTV10,http://113.120.108.132:4000/rtp/239.21.1.155:5002$山东电信
CCTV10,http://116.237.61.115:4022/rtp/233.18.204.76:5140$上海市电信
CCTV10,http://171.8.84.159:8800/rtp/239.16.20.10:10100$河南电信
CCTV10,http://182.135.34.97:888/rtp/239.94.0.10:5140$四川电信
CCTV10,http://182.135.34.97:888/rtp/239.94.2.31:5140$四川电信
CCTV10,http://121.238.250.95:8800/rtp/239.49.8.54:9818$江苏电信
CCTV10,http://111.193.235.246:8888/rtp/239.3.1.63:8116$北京市联通
CCTV10,http://106.116.240.74:9999/rtp/239.254.200.160:6000$河北省电信
CCTV11,http://113.120.108.132:4000/rtp/239.21.2.2:5002$山东电信
CCTV11,http://116.237.61.115:4022/rtp/233.18.204.77:5140$上海市电信
CCTV11,http://171.8.84.159:8800/rtp/239.16.20.11:10110$河南电信
CCTV11,http://182.135.34.97:888/rtp/239.94.0.11:5140$四川电信
CCTV11,http://182.135.34.97:888/rtp/239.94.0.36:5140$四川电信
CCTV11,http://121.238.250.95:8800/rtp/239.49.0.127:8000$江苏电信
CCTV11,http://111.193.235.246:8888/rtp/239.3.1.152:8120$北京市联通
CCTV11,http://106.116.240.74:9999/rtp/239.254.201.123:8120$河北省电信
CCTV12,http://113.120.108.132:4000/rtp/239.21.1.156:5002$山东电信
CCTV12,http://116.237.61.115:4022/rtp/233.18.204.78:5140$上海市电信
CCTV12,http://171.8.84.159:8800/rtp/239.16.20.12:10120$河南电信
CCTV12,http://182.135.34.97:888/rtp/239.94.0.12:5140$四川电信
CCTV12,http://121.238.250.95:8800/rtp/239.49.8.55:9822$江苏电信
CCTV12,http://111.193.235.246:8888/rtp/239.3.1.64:8124$北京市联通
CCTV12,http://106.116.240.74:9999/rtp/239.254.200.161:6000$河北省电信
CCTV13,http://113.120.108.132:4000/rtp/239.21.2.3:5002$山东电信
CCTV13,http://116.237.61.115:4022/rtp/233.18.204.79:5140$上海市电信
CCTV13,http://171.8.84.159:8800/rtp/239.16.20.13:10130$河南电信
CCTV13,http://182.135.34.97:888/rtp/239.94.0.13:5140$四川电信
CCTV13,http://182.135.34.97:888/rtp/239.94.0.37:5140$四川电信
CCTV13,http://121.238.250.95:8800/rtp/239.49.8.109:8000$江苏电信
CCTV13,http://111.193.235.246:8888/rtp/239.3.1.124:8128$北京市联通
CCTV13,http://106.116.240.74:9999/rtp/239.254.200.9:8264$河北省电信
CCTV14,http://113.120.108.132:4000/rtp/239.21.1.157:5002$山东电信
CCTV14,http://116.237.61.115:4022/rtp/233.18.204.80:5140$上海市电信
CCTV14,http://171.8.84.159:8800/rtp/239.16.20.14:10140$河南电信
CCTV14,http://182.135.34.97:888/rtp/239.94.0.14:5140$四川电信
CCTV14,http://121.238.250.95:8800/rtp/239.49.8.56:9826$江苏电信
CCTV14,http://111.193.235.246:8888/rtp/239.3.1.65:8132$北京市联通
CCTV14,http://106.116.240.74:9999/rtp/239.254.200.162:6000$河北省电信
CCTV15,http://113.120.108.132:4000/rtp/239.21.2.4:5002$山东电信
CCTV15,http://116.237.61.115:4022/rtp/233.18.204.81:5140$上海市电信
CCTV15,http://171.8.84.159:8800/rtp/239.16.20.15:10150$河南电信
CCTV15,http://182.135.34.97:888/rtp/239.94.0.15:5140$四川电信
CCTV15,http://182.135.34.97:888/rtp/239.94.0.38:5140$四川电信
CCTV15,http://121.238.250.95:8800/rtp/239.49.0.128:8000$江苏电信
CCTV15,http://111.193.235.246:8888/rtp/239.3.1.153:8136$北京市联通
